,symbol
0,RRRP3
1,ALPA4
2,ABEV3
3,AMER3
4,ARZZ3
5,ASAI3
6,AZUL4
7,B3SA3
8,BPAN4
9,BBSE3
10,BRML3
11,BBDC3
12,BBDC4
13,BRAP4
14,BBAS3
15,BRKM5
16,BRFS3
17,BPAC11
18,CRFB3
19,CCRO3
20,CMIG4
21,CIEL3
22,COGN3
23,CPLE6
24,CSAN3
25,CPFE3
26,CMIN3
27,CVCB3
28,CYRE3
29,DXCO3
30,ECOR3
31,ELET3
32,ELET6
33,EMBR3
34,ENBR3
35,ENGI11
36,ENEV3
37,EGIE3
38,EQTL3
39,EZTC3
40,FLRY3
41,GGBR4
42,GOAU4
43,GOLL4
44,NTCO3
45,SOMA3
46,HAPV3
47,HYPE3
48,IGTI11
49,IRBR3
50,ITSA4
51,ITUB4
52,JBSS3
53,KLBN11
54,RENT3
55,LWSA3
56,LREN3
57,MGLU3
58,MRFG3
59,CASH3
60,BEEF3
61,MRVE3
62,MULT3
63,PCAR3
64,PETR3
65,PETR4
66,PRIO3
67,PETZ3
68,POSI3
69,QUAL3
70,RADL3
71,RAIZ4
72,RDOR3
73,RAIL3
74,SBSP3
75,SANB11
76,SMTO3
77,CSNA3
78,SLCE3
79,SULA11
80,SUZB3
81,TAEE11
82,VIVT3
83,TIMS3
84,TOTS3
85,UGPA3
86,USIM5
87,VALE3
88,VIIA3
89,VBBR3
90,WEGE3
91,YDUQ3
