,symbol
0,RRRP3
1,ALSO3
2,ALPA4
3,ABEV3
4,ARZZ3
5,ASAI3
6,AZUL4
7,B3SA3
8,BBSE3
9,BBDC3
10,BBDC4
11,BRAP4
12,BBAS3
13,BRKM5
14,BRFS3
15,BPAC11
16,CRFB3
17,CCRO3
18,CMIG4
19,CIEL3
20,COGN3
21,CPLE6
22,CSAN3
23,CPFE3
24,CMIN3
25,CVCB3
26,CYRE3
27,DXCO3
28,ELET3
29,ELET6
30,EMBR3
31,ENBR3
32,ENGI11
33,ENEV3
34,EGIE3
35,EQTL3
36,EZTC3
37,FLRY3
38,GGBR4
39,GOAU4
40,GOLL4
41,NTCO3
42,SOMA3
43,HAPV3
44,HYPE3
45,IGTI11
46,IRBR3
47,ITSA4
48,ITUB4
49,JBSS3
50,KLBN11
51,RENT3
52,LWSA3
53,LREN3
54,MGLU3
55,MRFG3
56,CASH3
57,BEEF3
58,MRVE3
59,MULT3
60,PCAR3
61,PETR3
62,PETR4
63,PRIO3
64,PETZ3
65,RADL3
66,RAIZ4
67,RDOR3
68,RAIL3
69,SBSP3
70,SANB11
71,SMTO3
72,CSNA3
73,SLCE3
74,SUZB3
75,TAEE11
76,VIVT3
77,TIMS3
78,TOTS3
79,UGPA3
80,USIM5
81,VALE3
82,VIIA3
83,VBBR3
84,WEGE3
85,YDUQ3
